Transaction Date,Ticker,Full Name,Transaction,Amount (USD),Description
2017-01-19,APPLE INC.,AAPL,Purchase,"500,001 - 1,000,000",Exercised 100 Call Options
2016-07-21,MCGRATH RENTCORP,MGRC,Sale,"250,001 - 500,000","Sale Of 8,000 Shares"
2016-07-21,VISA INC.,V,Sale,"50,001 - 100,000","Sale Of 1,250 Shares"
2016-05-17,APPLE INC.,AAPL,Purchase,"100,001 - 250,000",Purchase Of 100 Call Options
2016-05-17,"SQUARE, INC. CLASS A",SQ,Purchase,"1,001 - 15,000",Purchase Of 50 Call Options
2016-01-15,WALT DISNEY COMPANY,DIS,Purchase,"500,001 - 1,000,000",Exercised 100 Call Options
2016-01-13,APPLE INC.,AAPL,Purchase,"250,001 - 500,000",Purchase Of 200 Call Options
2015-12-30,SALESFORCE.COM INC,CRM,Sale,"50,001 - 100,000","Contribution Of 1,084 Shares"
2015-12-30,BETWEEN BROKERAGE ACCOUNTS. VISA INC.,V,Sale,"100,001 - 250,000","Contribution Of 2,000 Shares"
2015-12-29,BETWEEN BROKERAGE ACCOUNTS. VISA INC.,V,Sale,"250,001 - 500,000","Sale Of 5,000 Shares"
2015-07-16,"HERTZ GLOBAL HOLDINGS, INC",HTZ,Purchase,"100,001 - 250,000",Purchase Of 258 Call Options
2015-07-15,"HERTZ GLOBAL HOLDINGS, INC",HTZ,Purchase,"15,001 - 50,000",Purchase Of 42 Call Options
2014-12-30,VISA INC.,V,Sale,"100,001 - 250,000",Sale Of 500 Shares
2014-12-29,VISA INC.,V,Sale,"250,001 - 500,000",Sale Of 1000 Shares
2014-12-10,WALT DISNEY COMPANY,DIS,Purchase,"50,001 - 100,000",Purchase Of 92 Options
2014-11-28,WALT DISNEY COMPANY,DIS,Purchase,"1,001 - 15,000",Purchase Of 8 Options
2014-11-28,"HERTZ GLOBAL HOLDINGS, INC",HTZ,Purchase,"50,001 - 100,000",Purchase Of 100 Options
2014-11-25,"HERTZ GLOBAL HOLDINGS, INC",HTZ,Purchase,"100,001 - 250,000",Purchase Of 200 Options
2014-11-06,"HERTZ GLOBAL HOLDINGS, INC",HTZ,Purchase,"50,001 - 100,000",Purchase Of 150 Options
2014-11-05,"HERTZ GLOBAL HOLDINGS, INC",HTZ,Purchase,"15,001 - 50,000",Purchase Of 50 Options
2014-10-24,"SUNEDISON, INC.",SUNE,Purchase,"100,001 - 250,000",
2014-10-23,ALCOA INC.,AA,Sale,"15,001 - 50,000",
2014-10-23,"BLUCORA, INC.",BCOR,Sale,"1,001 - 15,000",
2014-10-23,BROADCOM CORPORATION,BRCM,Sale,"1,001 - 15,000",
2014-10-23,DOW CHEMICAL COMPANY,DOW,Sale,"15,001 - 50,000",
2014-10-23,EMULEX CORPORATION,ELX,Sale,"1,001 - 15,000",
2014-10-23,"ENTROPIC COMMUNICATIONS, INC.",ENTR,Sale,"1,001 - 15,000",
2014-10-23,"SHUTTERFLY, INC.",SFLY,Sale,"15,001 - 50,000",
2014-09-22,MCGRATH RENTCORP,MGRC,Sale,"50,001 - 100,000",Contribution Of Shares
2014-09-22,ROBERT HALF INTERNATIONAL INC.,RHI,Sale,"100,001 - 250,000",Contribution Of Shares
